x_position,y_position
5.697987878208024e-10,1345807374.4756854
6.078536035082236e-10,1006344098.2287649
3.1816221536350556e-10,1182784851.6572297
6.40339343566711e-10,1467465103.9492054
6.603954964401653e-10,844532487.7204211
4.0212908239735204e-10,688161511.6682681
5.668576916746349e-10,1667759817.1601331
4.397134708674696e-10,299789376.47867316
2.508324501632945e-10,446666356.2026154
2.5608852108054403e-10,669185681.0635017
4.26038914689314e-10,382002314.95428675
3.4667286918178423e-10,645853053.4558576
6.179004216800233e-10,1266280063.599128
5.527464139184895e-10,1629079491.5889845
6.711720238110395e-10,254367695.96770388
5.073613007484489e-10,406293398.60902286
6.497723017015787e-10,61915652.08398186
7.508045347093407e-10,795595567.1078031
4.3172270538308305e-10,974315249.2675488
4.12975579920173e-10,1061221297.1995586
5.554847804608584e-10,1520862768.0259538
4.322877206871329e-10,967385811.9600272
8.384908039366235e-10,409886040.3726376
5.882450556366862e-10,519829218.42246747
5.995900696010929e-10,415813097.76225203
4.1142402585682806e-10,1088136336.4007378
6.450109626384915e-10,746794106.7651762
5.456822945083164e-10,351389102.37898433
2.8179347034105165e-10,826982024.5123506
4.822915145124903e-10,953864066.9646473
6.264521252970569e-10,538137997.5229836
4.332781760550967e-10,660685345.7482784
5.680333545649171e-10,499611876.43006027
4.71807757995836e-10,1672118267.1259806
4.3010481841485364e-10,1635569725.5927043
6.971974176417935e-10,130608528.6363312
5.151199953141974e-10,1350434627.1245048
6.165304114745989e-10,551671993.8274336
3.364294084784455e-10,260564301.82733023
6.435937181566761e-10,609821458.0678287
5.13145611031448e-10,1038580105.693039
6.963617422470613e-10,1091473336.4557369
5.005403455118196e-10,1928414234.6714973
2.0521341277688277e-10,230304783.85527185
2.7818529129990736e-10,32673621.795616057
2.2397440886698862e-10,89233788.69735776
4.5638697905792695e-10,1083754228.9138744
5.183685952558128e-10,1140656199.67538
5.893632374328779e-10,917135915.9328135
5.34376198499164e-10,108493879.40672827
4.626570326744788e-10,1719909688.6653547
5.568781153394236e-10,378959089.16373974
2.3115951631288234e-10,415379914.0676122
3.2027118463397674e-10,778365176.5293006
5.840689807821129e-10,1499930931.6203208
6.747694693942033e-10,597832863.1686931
4.4955954664937915e-10,992295877.6394844
2.902053494279421e-10,652769943.0512909
5.51334972642561e-10,1179007595.2858784
3.2883487594884833e-10,205158967.18555978
4.6042978613742505e-10,192117238.78784758
4.970854920699815e-10,959504476.509251
2.81269770428658e-10,200032468.69964483
4.2147667275296645e-10,202811309.66934156
5.280654675710389e-10,36938310.92406307
4.38056141507424e-10,561685723.6742618
2.1435968630283132e-10,762732539.3874856
6.211409746941817e-10,635569337.4212118
7.987036815998831e-10,84116822.05568737
