x_position,y_position
6.431905833158147e-10,34455736.20020714
9.248731604730503e-10,1434177284.2526195
4.854156552745119e-10,1042512853.382798
3.6986939254501064e-10,980401354.8454703
9.323271345489628e-10,1334380840.5503936
7.100702287935896e-10,251924378.17685583
3.891176209890367e-10,229498719.75613153
4.966567764115035e-10,124972525.36659785
6.060613350679168e-10,647849929.4182752
2.0904027384869295e-10,235869402.17459372
4.0830009464772224e-11,468977727.8295144
8.280213256108728e-10,1412236114.7812872
1.5973783427005073e-10,16413971.001177473
3.77513119668798e-10,1189328995.5381975
2.765329336320728e-10,501187385.45829725
6.393809414051622e-10,255404673.97190845
1.3481914722601396e-10,173576238.6558046
1.690936202693505e-10,856803303.514908
1.9026594346367366e-10,365061313.8557627
8.274002687778728e-10,945369995.1473637
1.6071107581633528e-10,1713809756.0975537
8.679522382605311e-10,5821685.947713151
2.5272188074975044e-10,1013862919.3139887
5.123908377117171e-10,825116565.7321079
5.956772942914917e-10,1135782371.0584552
7.38322986465132e-11,1342992660.4883218
9.185338277849382e-10,27637070.5923461
1.4671828912898556e-10,701830085.0632448
1.2831966330310074e-10,246199594.2606163
7.991330044706869e-11,755817024.7381694
3.742171489886204e-10,1161770273.159394
7.508140119335118e-10,505622958.0021829
1.4266593166504904e-10,724978591.5492245
5.005420434230279e-11,152849302.36111325
4.785781316069593e-11,586700697.1833243
8.205551172726115e-10,62143995.121799015
2.6939557423969555e-10,35926947.583696075
7.092885991307275e-11,184807336.97959927
7.471807672498589e-10,1112065262.4847753
7.302893610513404e-10,832717108.4467014
3.997736137829151e-10,435049642.2168861
1.7123359929069404e-10,74688906.30159874
4.924197615773607e-10,1479865949.1543243
9.48947002288143e-10,1656049675.9870543
7.275713995320957e-10,344191604.36824954
7.144304661874335e-11,51014642.03759253
6.098093086348829e-10,1623425914.5319097
7.988386347978628e-11,421422898.96683
8.13016691477732e-10,312546886.2843461
9.742473996223462e-10,441342077.7250409
8.338066401445677e-10,775586855.4373374
1.3386752291885795e-10,476360694.5196436
5.909577638976739e-10,727093954.7005638
7.098813303200829e-10,1453287462.5916798
1.7931134325092636e-11,437551826.6760218
1.8084483900089766e-11,326548982.0016307
3.91296410855703e-10,1963981339.191052
7.290272985853539e-10,1502580002.3926384
2.650520162986384e-10,340784807.28869563
3.0681174070491494e-10,406999509.1740861
4.264552094182045e-10,147346875.2424618
9.663839053591786e-10,1259614173.7184627
8.141059218100375e-10,362271401.78760314
8.655737001579255e-10,344381759.7603906
9.484557116031906e-10,1578400655.9410982
3.9252598851971734e-10,1785350723.1899374
8.537117734929691e-10,1064602587.2867568
8.496805889101044e-10,96039176.25018576
9.383427168395435e-10,741485321.4959562
3.8330319927640814e-10,757198812.098539
1.560378306386443e-10,1545994435.327664
3.161944064309301e-10,192870796.261436
8.335397740741771e-10,1492278697.1689477
4.17957781243034e-10,827916980.2866907
1.6111885319462817e-10,878061652.112505
3.9363194041282927e-10,842016643.2949115
7.413169604485575e-10,1415272144.9048946
7.02076866954386e-10,352735060.4354426
7.366896874334525e-10,633042688.8632185
6.885470596365871e-10,274042164.75909775
6.822813027798788e-10,288809609.9976087
5.353948300457048e-10,235955571.36588582
8.546297112098158e-10,832839183.9094535
9.306822686318036e-10,238824491.46168858
2.5325659582867144e-10,417989956.3550344
2.82375772507657e-11,420493708.3447577
8.354835368459705e-10,314407363.5188846
6.819326280403733e-10,132062904.38054745
7.386791441446325e-10,338914613.1511477
5.666938927176502e-11,286662012.8716601
4.8040603022218804e-11,340267840.39499164
9.161476052421856e-10,586204264.5415907
6.127447961985982e-10,851645813.9938309
4.718947823202349e-10,634846449.7633492
9.47267503215136e-10,66520483.055911176
4.3330859621362484e-10,9552994.148614101
1.4624351781538816e-10,455933163.9293382
7.306207459517044e-10,859634033.4350613
4.752670560928239e-10,223878582.4810696
2.931887874771833e-10,1255631024.1991334
3.8924989285212945e-10,171238238.2273081
3.979021626896051e-11,853912286.7399971
5.33629093525793e-10,429479929.1542983
8.234057446431568e-10,1321128904.005334
3.6017017629436443e-10,802421929.6689109
8.189879485261503e-10,801291580.1680797
2.3860658156307857e-10,18301323.083339535
8.321617498566906e-10,260569419.64374822
3.445559369280522e-10,66143777.610299096
1.341526776020946e-10,60405471.11070115
8.429056072252309e-10,1571426381.7777908
3.641788997971445e-10,352656622.3299887
1.4893824495330332e-10,1161968082.44058
3.8464322725883284e-10,100114899.63734509
5.159579828523212e-10,218992293.01270816
8.11672210988472e-10,712912869.0245028
2.810388444410874e-10,1454512076.7047086
7.023253675069867e-10,762531624.3977532
9.206190301358868e-10,126988172.63639194
8.716239651154498e-10,177126588.2971926
9.348789537036775e-10,172597253.00503367
9.68134603443633e-10,522371810.0281784
9.626256508442144e-10,863609326.5643959
1.9483459321531617e-10,399762961.7767912
3.8074966399578496e-10,1126657364.3777122
4.806635135925759e-10,432842433.04083085
8.567232754328955e-10,297566178.4754149
8.571126411241682e-11,732971699.827847
4.963357389113771e-10,1593448063.380568
4.908267573931699e-10,1812381841.7035258
4.970748921825164e-11,1319014220.954476
6.072359658514166e-10,357362981.8189716
5.826321977748757e-10,32810375.09601181
5.24383428930854e-10,1055572673.3565063
4.864187545332183e-10,96772118.48558785
2.5875563435088246e-10,1170223296.3029277
8.326102816281504e-10,428295514.10859776
3.6991969136526374e-10,624401700.7140586
3.765801738242101e-10,1657740008.3839471
7.563049128064908e-10,348462560.6203797
4.0577606263053536e-10,172290144.9668188
5.780304209230887e-10,34197048.29817593
4.718440563553084e-10,724572885.2311629
3.772096130675525e-10,1004693127.0075542
5.877087490377242e-10,512457218.01382774
1.2618717851629204e-10,325164797.79584044
8.663059402649071e-10,375292533.77588254
6.316336017905541e-10,705729620.1801567
4.996040988665282e-10,1221834677.9097943
3.849548162177963e-10,495872583.88391125
7.165346764931543e-10,754874696.1788279
3.0797579725205e-10,703690464.8699391
2.732092678905258e-10,993866713.1851628
8.306377685470535e-10,1636867203.7130306
2.731875596974889e-10,1375230822.8002372
5.077849328683754e-10,1518286330.2489552
4.666628885853525e-10,484233155.6519705
2.0333853551355465e-10,478273287.2159176
9.578718566482854e-10,308389521.81897444
2.966328246647485e-10,160414773.0723664
4.104418193009991e-10,656138183.8188092
7.419345667330246e-10,582502045.5441327
9.468007547428114e-10,1151914432.2577388
1.8188951635941154e-10,1274690599.9236028
5.104005876300814e-10,439402321.75699663
6.315638205833563e-10,965844857.4503539
1.903499986970676e-10,500212768.2274477
1.6839238076066278e-10,1130000543.0332804
2.714437293537998e-10,715278646.11959
1.394388505976918e-10,244510807.16544136
2.7669568476321753e-10,549977873.2421862
