x_position,y_position
3.17346844713603e-10,352882332.06004846
2.855990029401957e-10,264320120.7714467
7.6266339462355e-10,1165815184.7106302
7.458782921682341e-10,1412967394.7251766
6.220478455714052e-11,967809374.0954531
6.337300612565874e-10,301891930.8664804
1.6581962831679675e-10,385092618.39192027
5.400955436331923e-11,1643831980.0034041
9.716821389788082e-10,635226275.3097707
5.612311307990315e-10,87353906.89545518
9.396501591623965e-10,812404262.0390021
6.344856541589283e-11,1415953435.5825446
3.768444087830183e-10,720978606.7814509
3.476313351596577e-10,1091579133.6267087
4.640194212215574e-10,446771581.7182711
5.803597783965091e-10,530710666.416805
8.630485517116674e-10,679943505.9550503
8.784703472166811e-11,200469199.88230845
2.5069572686192344e-10,584351136.4007003
5.41394172627645e-10,1356863610.9012656
1.209304450286194e-10,201586958.72652775
8.853503859942984e-10,100359392.30845425
3.41515541973126e-10,1743369040.149321
8.802137803598062e-10,158566933.1145827
7.531644610553668e-10,647200775.9645321
7.498506810889046e-10,1342068814.1706603
2.683949494305752e-10,28409195.688108064
2.2787665861485063e-10,848586858.9701385
8.881457794974016e-10,176110613.66919786
5.166956854610418e-10,368495785.7644415
4.74759327315158e-10,573357004.7734206
6.99678536577073e-11,1247694488.8589184
1.2356798157612637e-10,538175864.9453167
2.596348465459344e-10,380769570.09573114
7.724740056209212e-11,160060907.11318442
3.6545218413103475e-10,1342165734.743174
7.193343845925449e-10,166790691.00939324
9.328039631522091e-10,554428043.2319261
6.210670367659718e-10,191905010.0669248
6.611165111983902e-10,1104238928.3728292
7.830340573618431e-10,421238640.5066721
2.7069660420673384e-11,783813511.4580761
6.297353670247436e-10,1209506753.3445354
6.539075603217874e-10,13614946.955727624
4.4441207267734995e-10,1830784473.849225
4.6040681982788493e-10,1683565758.3660605
8.414346716069658e-10,836762926.9129314
9.696396680582065e-10,1060479417.2783419
2.6230596935300655e-10,942149030.8232157
2.4251480733857e-10,352816531.456056
6.214804374799743e-11,1018693125.3613425
1.5273224585006275e-10,1947612088.5498915
1.45775620128504e-10,1598541444.190144
4.733899025074771e-10,536389892.6225645
5.284351948465451e-10,915051979.9296681
4.219693838988803e-11,147975007.9019273
1.1286218000112803e-10,157561570.29112193
5.669092467176018e-10,483242729.83906907
7.410788706555895e-10,835200746.4596515
2.517326143832065e-10,1370372032.9748898
2.595801263688481e-10,111354608.75077662
5.405263034232102e-10,1026655597.5596026
4.5559155526690944e-10,941959802.815647
8.247685859338069e-10,388264074.6597894
4.008825430940766e-11,677344288.7897979
2.5831575938780795e-10,1534841493.5078063
9.386069441224909e-10,716938095.4425709
4.150379606356969e-11,343090179.854564
4.674993809246491e-10,97395430.42183939
