x_position,y_position
8.635742772837638e-10,1218220234.9066253
1.3783130970144777e-10,1722264823.4494817
8.77712298384471e-11,495039655.34880275
1.0409379650844486e-10,1233755330.9359944
7.939372100046166e-10,619740871.8314172
1.440541179338518e-10,1066546631.7160668
2.0229522590404892e-10,1664364630.493639
1.311347708086057e-10,1157634473.079742
4.320560000059577e-10,878524468.1408501
8.689869459577677e-10,130184810.4922687
9.184331065927415e-10,771800619.2942139
1.4776451748533194e-10,676906458.4466739
7.877994680005621e-10,1114708703.1337757
4.734735605022003e-10,681261971.8318301
5.278702125155555e-10,1330766232.6963491
1.3289948448275392e-10,811220410.0371624
3.86961259043497e-10,184658888.69337842
8.157843082025578e-10,1846267240.6239924
8.288060615975856e-11,216723044.44180754
5.412533657930533e-10,787854992.1387867
3.57477887822564e-10,55405677.49889779
1.4407646264413888e-10,1702219517.9971943
7.367939110965657e-10,61194184.77221038
5.702682228504726e-10,974252101.6211109
1.4604657574621496e-10,448070559.5382152
8.324739099048185e-10,823266906.7851444
2.034509919786929e-10,1096132265.7403114
4.869373237729795e-10,592978403.2481282
9.070296152031269e-10,1879220.212252619
1.8771578747263307e-10,1371861353.6438835
1.3306508563928978e-10,777133339.417501
8.941648209001991e-10,935360545.2255337
6.057088817894931e-10,100207992.35186972
2.2130724106062796e-10,273540823.95805967
5.059947345661455e-10,1158739329.9998825
5.163156094100028e-10,1812795951.4750376
8.098059553539092e-10,1680439232.7394412
8.307381633527336e-10,894241204.6545557
1.6011710900682353e-10,550091036.6004387
8.831813279585882e-10,1179853624.314454
5.258519832822338e-10,454900058.8453002
5.262293761854354e-10,1475376018.5720458
7.430974023576176e-11,411063622.1530843
1.6008958980695465e-10,1214218189.3945682
9.088794586591958e-10,517236404.6975774
3.587390997419181e-10,4822723.236916681
8.929701078652213e-10,443523962.57975173
5.979038859673599e-10,84841136.65859948
1.3016516825859626e-10,578088620.6593527
7.291196264221556e-11,570170770.7369225
2.8807899506602056e-10,82924150.78243186
8.401547180428892e-10,378804331.10857266
1.6255638383384952e-10,675575138.5522705
2.5387915607454025e-10,593571400.8169954
8.499586631831979e-10,134769766.22716916
2.981252047351594e-10,102340805.17068732
1.3414960689004997e-10,838782301.3060819
4.711903825271778e-10,396244340.8693032
7.838986847479231e-10,866870723.5664976
5.840118528324445e-10,405613422.7578187
8.208304503271791e-10,880036945.0249647
5.792719454627006e-10,1060134526.6432977
1.6416591863865682e-10,1189018983.8529105
9.020154821339905e-10,430421306.90602046
6.938455000428778e-11,165218796.4264524
9.677825146234995e-10,75814026.91961502
5.61037461783515e-10,615277511.4115995
4.1739464714659305e-10,728849924.4474077
8.337243526361056e-10,1975793885.02367
1.188679463286213e-10,307371123.312673
