x_position,y_position
8.522499812337137e-11,373954945.45456296
8.383806266217537e-10,1008201309.4470826
5.1989904859965466e-11,63443447.411205105
7.27239948083796e-10,202212046.84064227
3.129347400033399e-10,630990742.2657521
4.182399342920085e-10,864248260.6841319
3.4430450083088507e-10,74884108.82457796
8.224684572460727e-10,707561805.1390864
7.199627773450546e-10,575471248.4837062
1.7480052824808602e-10,1153170858.6843605
5.551493707406233e-10,811735790.2049614
8.073621214845728e-11,1287142052.3288016
6.891465146819017e-10,612513649.4236681
6.989929181430916e-10,541073534.271333
7.772931214977722e-10,550711820.4555179
3.291535062715034e-11,666481658.5439447
5.920617356480012e-10,262521809.30517662
8.239263767844274e-10,232618323.1875056
9.480490764450911e-10,1275113289.095434
3.219466844894347e-10,1329309603.5993395
5.523619851785613e-10,994293820.5502702
9.804185332356893e-10,151195193.75454593
3.1306182125377905e-10,1258898559.8357277
2.864984352058512e-10,552071158.5083077
7.032956633503118e-11,1250416396.6213865
3.095205453822423e-10,1487713090.0230253
5.434284212697756e-10,1154899209.9482358
7.888570196390522e-10,507383363.2798434
1.7259951669249853e-10,1543016137.0034916
9.48989586355235e-10,1414153992.7253218
6.988963254393776e-11,1161008917.573441
4.563229916133661e-10,921036469.0816531
6.903878884198396e-10,79379300.72117183
7.471018546124875e-11,1612901592.0483143
2.9567260098140603e-10,819535424.9829217
3.2127726188371033e-10,1804337109.669972
6.779302954686186e-10,1204325999.600439
6.926000655331716e-10,387247964.2441786
3.321192273011853e-10,671074779.8170508
6.530065279064586e-10,245261431.85029855
8.028609814971928e-10,1464267245.5193648
3.941988907361065e-10,135175581.286453
8.02762811236513e-10,1776131663.517942
5.96851066590024e-11,1757392428.5509424
5.581088966072926e-10,1856144117.3846948
2.331547805518557e-10,171848900.86433178
6.39619365898844e-10,215608172.03781065
4.6526620457623903e-10,119098480.42736048
3.2989119803162737e-10,1192763946.1733098
5.866429763239466e-10,1304564902.4763384
9.060477521381366e-10,559965417.8286319
3.3943281055141963e-10,1209338205.2183726
6.747996571226418e-10,1102245507.7284458
8.210575851811764e-10,1428490043.9341764
4.0852169299017363e-10,751020834.2010053
7.838336074775973e-10,754167668.9565463
3.0587492092881695e-11,640741663.1736033
7.398711097411547e-10,84930408.72298917
7.868693145201719e-10,116899039.56704149
5.381865171622248e-10,842563153.5493318
1.8650349848806936e-10,1726482003.2753565
9.093781429419752e-10,378101790.62478673
9.06578003444559e-10,217781765.3328977
2.881312453553263e-10,1222797610.6069372
5.985271816905532e-10,636327420.0720816
6.864132313022771e-10,1141631135.4814687
9.458084584582065e-10,1269754331.2816646
