x_position,y_position
4.007434411292015e-10,172891187.26833227
1.1905077987396384e-10,629499103.4623184
2.5170606573883514e-10,158388699.99641103
7.323152967759972e-10,1502226800.8546715
7.192774295299531e-10,569247081.7333446
1.2495381008621386e-10,20761493.456433963
4.227291254679482e-10,263128197.54231474
8.740807041869463e-10,663331735.790974
8.139132320600436e-10,478507745.3224859
2.0696471845177557e-10,957498489.3316643
9.585809254524573e-10,128119165.61302337
6.537077702115893e-10,1041373081.589167
7.929926302710461e-10,1758368480.9951782
6.573895698618752e-10,792255609.4677889
3.438353308938693e-10,372265596.6207204
6.439804456053994e-10,779158803.2478361
1.600763456153339e-10,622917861.3772218
5.937094545798895e-10,155675893.04946038
8.699964787670284e-10,98668913.89581543
2.0432158749193575e-10,1520015019.9219682
8.548418551982453e-10,628093431.8400552
2.6479967687149945e-10,630621851.8536221
1.971186659162414e-10,140847713.6816648
6.786413129793074e-10,565305312.8400116
7.778771852899101e-10,745956988.5398744
4.403101026966349e-10,240246880.27985138
1.6996205279288557e-10,1535313405.566261
7.843214767074198e-10,1801762094.0094514
1.1495586521203728e-10,252429730.86502448
2.48098469680507e-10,615725902.1300404
1.4791120670266757e-10,1265207098.107426
2.0645297918453354e-10,1121000213.6871638
2.0427124523433127e-10,1734901699.443444
6.953504030952119e-10,1233182562.781557
5.862803345849059e-10,512110623.3885819
3.0708646910975494e-10,1367996966.8807147
7.507272982748534e-10,1021037459.238426
3.0425044777490395e-10,938854792.4262614
6.274734090894095e-10,565919474.786742
2.526454077937116e-10,1252257136.9077826
3.5888471327166305e-10,377632154.14286995
2.186697241706257e-10,1576071433.1138842
3.1032899069037347e-10,221009659.79065654
6.352029509474176e-10,973113428.0792967
2.071902607156837e-10,162543844.4501117
1.172668290186336e-10,718430735.504749
6.856137453672684e-10,1191312563.1982834
7.211577942335135e-10,19778466.96086538
8.817707732774365e-10,578456341.1110317
8.151120997235023e-10,510525396.5024529
3.247041399967545e-10,1232301331.628969
7.721024992158907e-10,1538737574.500963
2.675572626655619e-10,1390995120.2321513
2.1172283683022965e-10,1036041454.0265043
7.07945778239077e-10,1021523324.1835265
9.383980253977176e-11,366164658.2730031
4.886836507312298e-11,23428690.852298927
8.174835296545217e-10,1342030140.1484463
8.353438337851206e-10,751102298.9744186
2.947991621305261e-10,1752126008.4826415
4.1307564731601935e-10,170326830.6472636
9.020397402271781e-10,93980131.13521996
3.2631751989285254e-10,169289925.622784
3.4319020070710505e-10,1338453243.6023047
2.3890146791137227e-10,1269951477.0922065
7.922402874047785e-11,22632836.831840917
2.888806633963128e-10,724979908.7257572
8.816231129835357e-10,76493928.91321404
7.286877526276299e-10,775799177.1583682
4.9844667650705615e-11,4276067.730286659
1.7406307198396754e-10,1251220916.7991304
7.663443529217014e-10,1355189832.4559999
3.1173598753328705e-10,1029516457.0530556
7.32070768680833e-10,1413523528.8540013
3.289753582039338e-10,1151176178.5861332
9.05171283605789e-10,143126276.080064
9.018229058438824e-10,47192810.62228053
3.50960569693768e-10,506300151.278298
2.4767904970045854e-10,572522950.9642701
7.799800150581501e-10,815136189.8532784
8.539251542081758e-10,916829541.9927179
6.70548517980203e-10,1411700866.5954046
2.5881341847811004e-10,609853983.5914742
8.955172300773099e-10,364431964.41635865
6.797321806102351e-10,174196075.17739096
6.358233338690313e-10,563033964.7269679
1.221578402629613e-10,717368231.5998037
6.462220875499287e-10,702598625.2506046
1.4672180939535618e-10,936394661.1694865
1.8092222643849533e-10,160900549.277698
8.46790812222947e-10,140436722.68394735
1.4842362633792285e-10,424630079.44911665
6.81480936649543e-10,186281576.2296328
2.45905726237432e-10,1901721226.5500753
7.948919903434605e-10,1360222753.8530183
8.664230063981343e-10,548127506.3845803
3.2374161745455814e-10,929045205.7583055
7.530430037290686e-10,1438002888.9571545
2.6782220206001105e-10,924955254.8559202
3.406157192842706e-10,71693227.79795206
2.9453659110198775e-10,281151508.68268234
8.435420189664948e-10,1384200168.2013283
2.3404751764504394e-10,1825049924.8080664
2.63533265080786e-10,1298967655.8752267
7.519185142963648e-10,973003822.1905993
1.7779286468348144e-10,1196219149.3415914
8.065319277617461e-10,1231427241.437676
1.8952641345171763e-10,1474199247.9276721
3.077585992020586e-10,1570633630.384246
7.650979752194757e-10,1761462283.8989854
6.480937129189199e-10,787494165.6595201
3.523275224275059e-10,1110356634.4293885
1.976604579267064e-10,1179201279.835702
2.817324781731727e-10,305979511.1935117
5.908032237658853e-10,406871643.04241633
8.25671831668451e-10,556686282.3319569
6.931381257696485e-10,925683545.937039
7.10970004058908e-10,729899493.8313367
3.145844967054449e-10,796786710.093162
8.251306394845209e-10,1473965285.49526
8.346837087090119e-10,1249935194.0611966
7.677917395939373e-10,24604356.883670017
7.521736778237106e-10,1749958923.6926138
2.6650802397235044e-10,1621499870.4603424
7.625463339188941e-10,232139192.37910783
1.7878906283775855e-10,981560078.9694428
8.86930454794844e-10,152275451.61916444
6.138106130077046e-10,558122560.1261994
1.2243240303212421e-10,631636967.1172037
5.956497147271768e-10,520601667.10215557
8.823010268620887e-10,227061391.7249029
2.0128800398145386e-10,714682510.1972595
6.788534031098715e-10,83503127.5233129
2.295413764675788e-10,158618738.6026596
3.720941841542752e-10,82118694.1615084
1.763877987206247e-10,465703005.3739132
6.955976261761621e-10,1238046319.3855305
1.4651374305231792e-10,1207270508.774582
1.568391726196402e-10,330920910.46887213
3.1522329381407045e-10,112186343.83864011
1.2320564741960927e-10,465166847.64972055
7.931143536040906e-10,263465225.09322298
8.108590108418378e-10,1024865740.6156167
2.5714753965006945e-10,904300849.5887314
4.322025497060318e-10,195401123.49011472
7.165247028520259e-10,930942206.4468501
2.980384943769504e-10,294738464.42675805
7.072185366694316e-10,259379583.6014485
3.349526978391738e-10,1034966188.3484446
2.4261079045806756e-10,150940376.4287793
6.401035774504378e-10,835623140.514939
3.099577867209729e-10,742821846.183582
6.793492808041107e-10,1548633452.740601
2.613377064421564e-10,585736075.9585727
2.982331086634811e-10,1291655052.6270387
7.023400179818633e-10,230056433.690343
7.698874573803087e-10,716643937.2865597
7.56541980734792e-10,1704737896.3004699
6.891877745805241e-10,626757446.5815257
6.795351062435761e-10,1544103641.7424946
7.330169275900858e-10,201434883.31318048
2.6024174780775146e-10,1542918833.3921056
7.06847071038384e-10,758871969.2058266
6.268539323647909e-10,1015250875.468653
2.432431874482723e-10,25633303.446678463
8.807470042173421e-10,559064203.4537176
6.514899903784801e-10,230383290.78139117
7.190078079547472e-10,254334067.01047653
7.026774169243523e-10,953851778.231794
8.214490751483667e-10,224002796.83455813
9.225774708818563e-10,196993991.6943133
1.8984809796859283e-10,133439646.10801294
1.399637015968175e-10,671253622.4800258
4.215194993200802e-10,101567802.47872542
7.942579207449674e-11,328755448.67194504
7.858090983677592e-10,1795914792.0915709
6.035784872656149e-10,717674689.0783594
3.785468591050241e-10,388332036.79608095
8.695879396275266e-10,578511833.9302903
3.6288254058745554e-10,271724360.5388164
9.094800954250537e-11,447296705.8275685
7.529989994537815e-10,841055473.682251
7.900442904752955e-10,19342434.730553523
7.451221304346805e-10,1316561467.924854
8.27273928365411e-10,512663461.35789305
7.651714801501849e-10,1158944184.5509224
9.589901412650501e-10,33203803.62120767
2.0076919255504622e-10,1344927206.4307613
8.652049737052717e-10,189032980.64897898
2.2800190751434913e-10,486484330.7903883
5.800662475230072e-10,398317360.5440297
2.3015848792905925e-10,507958878.03412217
2.4576368122480374e-10,1871667868.37637
7.86147307355427e-11,440159305.6868555
7.922518945409405e-10,185191039.91851434
1.0820299655788724e-10,744450578.2661476
9.533673340207201e-10,34191485.0182623
7.853836994677113e-10,550399255.1708438
4.1432879491453215e-10,489811971.22121006
3.84738125353866e-10,731441318.2249168
8.980291909593377e-10,435179567.2073046
1.8112320043894303e-10,1353093594.3379407
2.557078752436051e-10,13438884.760904822
2.2561103712835143e-10,1089536201.7315195
7.765150749007732e-10,728762959.1344199
7.691995441642551e-10,409486235.7851465
7.67024418277047e-10,126962860.79552242
2.896509847080412e-10,625553690.2461604
1.326469143297826e-10,575795107.7147076
8.395076813406444e-10,944000241.6648924
7.534323869463508e-10,405443532.26151323
2.46032418465459e-10,1552057351.2110388
6.398450659952411e-10,360818132.8629866
2.3245961832349417e-10,1934709408.6717994
1.9692365017350845e-10,364779169.75634915
2.242081062043352e-10,1861856921.0280282
2.812859668921971e-10,232028232.91254023
6.567035712625536e-10,777760257.1630354
2.5726376465136237e-10,824469723.918461
6.881658754734887e-10,1288233348.7699604
8.626939936894185e-10,413776925.3843128
5.894248737525258e-10,478132306.52171284
7.467660304180398e-10,1870920605.9601843
3.246506423963385e-10,895362565.649941
9.555445882218048e-10,75191094.94438769
7.114204610080515e-10,1854486804.1794832
6.063827990500374e-10,649021597.4709005
1.599913997596544e-10,1049633314.4636657
2.5467097168497677e-10,1267943802.7956762
3.825966198875798e-10,801041088.3436878
2.55647619806286e-10,1224172777.0863118
8.26520996490262e-10,487667789.3037772
3.2911050354149275e-10,349552450.2427676
7.778008759045818e-10,1936441363.5867345
7.256591059756768e-10,1752222612.3712533
1.8715264131599676e-10,1470519790.1232855
1.9992125450009536e-10,1098599124.8379798
