x_position,y_position
2.9507125124259426e-10,18030083.026369102
4.5927821610647013e-10,460646673.14102143
9.341494528990128e-10,142529009.00004748
7.101966664152624e-10,517765812.9083768
8.541361751952914e-11,1492500895.8217502
1.1566683749328788e-10,439458690.70881534
9.087393642510243e-10,131281258.76266348
2.7153329270985337e-10,789187401.0845786
6.730825925366659e-10,867353559.8879446
4.810911517935661e-10,1777928946.4372995
6.604831714306453e-10,953073349.6550939
2.9861058436087987e-10,29865774.01187329
6.664645611783838e-10,1415308109.4492528
1.6732017649612008e-10,114923111.18444087
6.554967420829006e-11,388301651.5789536
5.072506945313291e-10,1469701673.3584814
3.1767624638977e-10,1072531831.6530566
3.543487099379026e-10,297006723.5060407
8.30504258826352e-10,309986685.0489949
4.7424161620185257e-11,352049176.3562243
6.889035605112771e-10,1738226131.2302022
5.491978112318362e-10,581908649.0786648
4.971596953694206e-10,163236.2461505554
9.517860453055702e-10,654115598.0611607
5.088494357420823e-10,832979966.0573868
3.695247041802623e-10,118734975.50042565
6.837489632858265e-10,208028051.47330746
1.17353040208826e-10,1315801363.250478
8.834608559611381e-10,164234891.82132453
6.553037528200752e-10,53934623.21078712
9.461210827787715e-10,829064308.5542874
1.5919128655751648e-10,226326429.24935427
2.823259394993981e-10,573962280.198817
1.1823069745648052e-10,1824999554.5997405
5.106438800393648e-10,1076494198.5654788
4.5130684971613167e-10,570877420.9106944
1.0783251836150487e-10,629237134.9178753
1.4719777914211186e-10,303091583.28450245
2.170286195148219e-10,109618538.33068512
8.745024499765085e-10,1175715753.9435067
7.209582974174594e-10,1159589759.550265
7.117887667982284e-10,68867477.71083689
6.847440141934829e-10,38099465.801886275
2.9028914895495994e-10,878016029.1664537
5.014022654736907e-10,1228908582.4834864
8.75292616052952e-10,1602045681.996535
4.987226697274674e-10,1257564051.5027661
4.865954444507557e-10,594096320.1358186
4.808225667672037e-10,4521157.81059148
7.129907811689211e-10,1195231848.9302125
5.362860734062407e-10,871810272.7223537
5.819715760116408e-10,2557289.4782406315
9.397811975875873e-10,77083814.53177358
6.505921693524242e-11,1074265033.9579477
7.375618890069884e-10,141345665.88040707
7.368904914979403e-11,487067918.44804436
1.3184975875261353e-10,1334052923.2607772
2.850925673184404e-10,1443932494.0830145
9.398212580855221e-10,411724484.42635006
8.798515274381623e-10,1137006583.794189
4.4996512939372683e-10,139263946.06202152
7.006177025630343e-10,1767539027.2675862
3.4394398321628796e-10,922274072.9805586
5.513865439232584e-10,568054284.0885447
5.515108006714281e-10,684965260.2367574
8.863626853125849e-10,1573018602.197785
4.834680035618939e-10,1148006096.5961845
8.811278435880931e-10,1537408251.7030547
6.960572453713266e-10,1364861631.1040375
1.362420359783112e-11,5420325.182808883
7.156374078718417e-10,500930630.4556577
6.363810417860433e-10,440738306.8902681
8.234113352505947e-10,212191379.8603605
8.413728426787422e-10,575954053.2963513
6.286898108109552e-11,481997171.45199144
3.3640005152466347e-11,121950952.61265142
2.802594299223189e-10,1135432548.3548813
2.7999357036081475e-10,843427389.5709879
3.2613683821850004e-10,1603617683.3175502
8.539889205503854e-10,976191856.9468039
5.287011734530926e-10,156154951.90488213
9.623056038392408e-11,1023316018.3266424
1.1047856960361936e-10,1403172085.5750787
8.871197630771074e-10,665619308.8119586
8.959486555471645e-10,278534393.5588666
2.3002844438317052e-10,246669382.72139567
6.590138616037948e-10,1251824424.015357
6.933518069247885e-10,530601247.65994346
3.0856586299419857e-10,164418214.11817756
8.829205230223737e-11,1373987945.848571
9.54116447379607e-10,334339998.79859215
2.2103713894355527e-10,55331902.160960175
6.92990215572163e-10,50589164.11390112
9.565206741244545e-10,173379454.9492835
1.3659810141716877e-10,792942349.8394109
6.90734194441477e-10,1202249832.762663
1.0106272492391678e-10,462760219.5634361
2.8273700669971915e-10,22023169.70281681
1.085990569655847e-10,1107866738.710657
4.6511030845601987e-10,212741187.43799427
4.423174403752263e-10,673367416.0288473
2.885510987568707e-10,837493885.7917253
9.135601431450172e-10,189787711.08285317
1.1348573711445065e-10,1720756409.6683874
1.3745329049427635e-10,1063559670.1898717
8.847696084639129e-10,1397926059.671658
6.444713957091654e-10,241702912.6562846
7.38330244786419e-10,1209144753.97644
9.291864922388323e-10,870601493.2144531
7.003946039393194e-10,1286252726.5516148
6.676225265908943e-10,1342094292.9784486
9.410028710184137e-10,1106814677.1327183
9.088848781593558e-10,866178023.9588183
9.784579927035663e-10,164636206.3223141
8.649785579723568e-10,1232831773.835385
4.21209917633535e-10,121845425.36168607
8.814841496405583e-10,1657628578.360398
3.593443986684767e-10,651906201.167491
1.3817786824004907e-10,221208523.72562736
2.6830680909839633e-10,904119920.815815
5.20552398796592e-10,645390326.6832846
3.146184097834942e-10,87698503.45122898
3.0188336714163414e-10,1725691521.715441
4.380618075661125e-10,35476295.348415114
8.665108278911661e-10,882865042.92039
1.126793312169544e-10,694339769.0715902
2.458177462198322e-10,279754447.23023796
3.3395116844803377e-10,194351684.7248687
3.85060072982979e-11,233365649.8542846
8.948321705598627e-10,748518631.3441242
1.3766830300793055e-10,981504355.2304859
1.1517439493382409e-10,1626057728.6868002
9.088177017014665e-10,1502335620.844471
1.486950616083157e-10,250845742.73633838
5.491061313045848e-10,353198570.4303901
5.242268825671006e-10,1137829355.6194615
6.487291585457775e-10,490128837.2686913
9.625783740146832e-11,187177509.93102044
6.644636546162841e-11,1318379302.6313798
4.703713625869278e-10,685120907.6956916
4.922777474086466e-10,1926639179.770638
3.066862611538486e-10,1000394270.9915798
9.576114772010358e-11,1604902050.7333531
4.98802295214515e-10,1864563849.2578633
4.4600605138110617e-10,790569035.0999455
5.8112995898341627e-11,695888802.5492741
5.005328526308405e-10,1756182776.2837334
4.400276468698941e-10,244173684.5877853
2.5609503387090874e-10,734376678.0152178
8.677573166374645e-10,1300827614.6845586
2.8012993929255526e-10,1494481127.974546
9.769740761318385e-10,212282211.1954081
6.87242098775683e-10,656695697.2660775
7.398726539846836e-10,948684222.2412989
9.442425123783393e-10,744277487.2047222
5.238423135330526e-10,98418374.08346543
